year	month	ENSO	ONI	ENSO1
1950	1	Niña	-1.4	3
1950	2	Niña	-1.3	3
1950	3	Niña	-1.2	3
1950	4	Niña	-1.2	3
1950	5	Niña	-1.1	3
1950	6	Niña	-0.9	3
1950	7	Niña	-0.6	3
1950	8	Niña	-0.5	3
1950	9	Normal	-0.4	2
1950	10	Niña	-0.5	3
1950	11	Niña	-0.6	3
1950	12	Niña	-0.7	3
1951	1	Niña	-0.8	3
1951	2	Niña	-0.6	3
1951	3	Normal	-0.4	2
1951	4	Normal	-0.2	2
1951	5	Normal	0	2
1951	6	Normal	0.4	2
1951	7	Niño	0.6	1
1951	8	Niño	1	1
1951	9	Niño	1.1	1
1951	10	Niño	1.2	1
1951	11	Niño	1.1	1
1951	12	Niño	0.9	1
1952	1	Niño	0.6	1
1952	2	Normal	0.4	2
1952	3	Normal	0.3	2
1952	4	Normal	0.3	2
1952	5	Normal	0.3	2
1952	6	Normal	0.1	2
1952	7	Normal	-0.1	2
1952	8	Normal	0	2
1952	9	Normal	0.2	2
1952	10	Normal	0.2	2
1952	11	Normal	0.2	2
1952	12	Normal	0.3	2
1953	1	Niño	0.5	1
1953	2	Niño	0.6	1
1953	3	Niño	0.6	1
1953	4	Niño	0.7	1
1953	5	Niño	0.7	1
1953	6	Niño	0.7	1
1953	7	Niño	0.7	1
1953	8	Niño	0.7	1
1953	9	Niño	0.8	1
1953	10	Niño	0.8	1
1953	11	Niño	0.8	1
1953	12	Niño	0.8	1
1954	1	Niño	0.7	1
1954	2	Niño	0.5	1
1954	3	Normal	0.1	2
1954	4	Normal	-0.4	2
1954	5	Niña	-0.5	3
1954	6	Niña	-0.5	3
1954	7	Niña	-0.6	3
1954	8	Niña	-0.7	3
1954	9	Niña	-0.8	3
1954	10	Niña	-0.7	3
1954	11	Niña	-0.7	3
1954	12	Niña	-0.7	3
1955	1	Niña	-0.7	3
1955	2	Niña	-0.7	3
1955	3	Niña	-0.7	3
1955	4	Niña	-0.8	3
