Year_Month	Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Septiembre	Octubre	Noviembre	Diciembre
1950	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Ni¤a	Ni¤a	Ni¤a
1951	Ni¤a	Ni¤a	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1952	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1953	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1954	Ni¤o	Ni¤o	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1955	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1956	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1957	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1958	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Normal	Ni¤o	Ni¤o
1959	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1960	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1961	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1962	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Ni¤a
1963	Normal	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1964	Ni¤o	Ni¤o	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1965	Ni¤a	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1966	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1967	Normal	Normal	Ni¤a	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1968	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1969	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1970	Ni¤o	Normal	Normal	Normal	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1971	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1972	Ni¤a	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1973	Ni¤o	Ni¤o	Ni¤o	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1974	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Ni¤a	Ni¤a	Ni¤a
1975	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1976	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1977	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1978	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1979	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1980	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1981	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1982	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1983	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1984	Ni¤a	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Ni¤a	Ni¤a	Ni¤a
1985	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal
1986	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1987	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1988	Ni¤o	Ni¤o	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1989	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1990	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1991	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1992	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal
1993	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1994	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1995	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1996	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
1997	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
1998	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Normal	Normal	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
1999	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
2000	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a	Ni¤a
2001	Ni¤a	Ni¤a	Ni¤a	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
2002	Normal	Normal	Normal	Normal	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o	Ni¤o
2003	Ni¤o	Ni¤o	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
