code,name,lon,lat
26055070,UnivdelValle,-76.53377778,3.378
26075010,PalmiraIca,-76.31502778,3.513388889
26075040,AptoABonilla,-76.38558333,3.533333333
26095080,Tenerife,-76.07483333,3.729944444
26105140,Barragan,-75.88805556,4.033333333
26105150,SanMarcos,-76.03316667,4.238972222
26105160,AptoFarfan,-76.22311111,4.090388889
26105230,Mateguadua,-76.16805556,4.028694444
26115040,CentAdmoLaUnion,-76.06216667,4.531277778
26125130,Cumbarco,-75.83236111,4.185027778
54075020,BajoCalima,-76.99025,3.953611111
