"day","month","year","26055070_UnivdelValle","26075010_PalmiraIca","26075040_AptoABonilla","26095080_Tenerife","26105140_Barragan","26105150_SanMarcos","26105160_AptoFarfan","26105230_Mateguadua","26115040_CentAdmoLaUnion","26125130_Cumbarco","54075020_BajoCalima"
1,1,1981,NA,0,0,4.8,0,NA,0,NA,0.4,1,2
2,1,1981,NA,0,0,1.8,0,0,0,NA,0,0,0
3,1,1981,NA,0,0,0,0,0,0,NA,0,0,12.3
4,1,1981,14.5,0,0,0,0,0,0,NA,0,0,2
5,1,1981,6.2,0,0,0,0,0,0,NA,0,0,3.8
6,1,1981,0,0,0,1.3,0,0,0.4,NA,0,0,3.5
7,1,1981,1.1,0,0,1.4,0.5,0,0,NA,0,0.4,87.7
8,1,1981,1.2,0.1,0,1,0.1,0.2,0,NA,0,0,8
9,1,1981,0,0,0,2,0.3,0,0,NA,0,0,1
10,1,1981,0,0,0,0.4,0,0,0.1,NA,0,0,14.9
11,1,1981,0,0,0,1.4,0,0,0.1,NA,0,0,10.5
12,1,1981,0.1,0,0,0.1,0.5,0,0,NA,0,3,146
13,1,1981,3.3,2,2.1,2.3,0,0,0,NA,0,0,19.8
14,1,1981,0,0,0,6,0,0,0,NA,0,0,0
15,1,1981,0,0,0,0,0,0,0,NA,0,0,82.8
16,1,1981,0,0,0,0,0,0,0,NA,0,0,0
17,1,1981,0,0,0,0,0,0,0,NA,0,0,9.3
18,1,1981,0,0,0,0,0,1.5,0.1,NA,0,0,6.1
19,1,1981,0,0,0,0,0,0,0.1,NA,0,0,2
20,1,1981,0.2,0,0,0,0,0,0,NA,0,0,1.4
21,1,1981,0,0,3,0,0,0,0.2,NA,3.5,0,4.2
22,1,1981,0,0,0,0,0,0,0.1,NA,0,0,0
23,1,1981,0,0,0,0,0,0,0,NA,0,0,4.7
24,1,1981,0,0,0,0,0,0,0,NA,0,0,1.6
25,1,1981,0,0,0,0,0,0,0.3,NA,0,0,5.8
26,1,1981,0,0,0,0,0,0,0,NA,0,0,1.2
27,1,1981,8,2.1,0,0,0,0,0.1,NA,0.1,0,43.2
28,1,1981,0,0,0,0,0,0.1,0,NA,0.6,1,10.3
29,1,1981,0,0,0,0,0,1.2,0,NA,0,0,5
30,1,1981,38.2,0.5,7.5,9,0.2,0.4,0,NA,0,5,3.5
31,1,1981,2.3,2,1.7,4.5,0.3,0,0,NA,0,1,1.5
1,2,1981,13.4,NA,4.4,0.7,0,0,0,NA,1,5,5.3
2,2,1981,0,NA,0,0,0,0,0,NA,1.5,7,26
3,2,1981,6.3,NA,0,5,3.5,22.9,1.8,NA,11.5,2,44.9
4,2,1981,6.9,NA,21,5.2,2.1,0.6,1.1,NA,0.8,0,11.1
