"day","month","year","26055070_UnivdelValle","26075010_PalmiraIca","26075040_AptoABonilla","26095080_Tenerife","26105140_Barragan","26105150_SanMarcos","26105160_AptoFarfan","26105230_Mateguadua","26115040_CentAdmoLaUnion","26125130_Cumbarco","54075020_BajoCalima"
1,1,1981,NA,19.6,20,NA,NA,NA,NA,NA,NA,14.6,NA
2,1,1981,NA,18.6,18,NA,NA,NA,NA,NA,NA,14.2,NA
3,1,1981,NA,20.5,20,NA,NA,NA,NA,NA,15.2,15,NA
4,1,1981,NA,18.6,19.2,NA,NA,NA,NA,NA,NA,14.8,NA
5,1,1981,NA,20.4,20,NA,NA,NA,NA,NA,NA,13.8,NA
6,1,1981,NA,19.7,19.4,NA,NA,NA,NA,NA,NA,14,NA
7,1,1981,NA,19,18.4,NA,NA,NA,NA,NA,16.8,15.4,NA
8,1,1981,NA,19,18.8,NA,NA,NA,NA,NA,17.6,15,NA
9,1,1981,NA,17.8,17.8,NA,NA,NA,NA,NA,19.8,14,NA
10,1,1981,NA,20.5,20.4,NA,NA,NA,NA,NA,NA,13.8,NA
11,1,1981,NA,18.9,18.5,NA,NA,NA,NA,NA,NA,16,NA
12,1,1981,NA,17.5,18.7,NA,NA,NA,NA,NA,17.4,15.2,NA
13,1,1981,NA,19.5,19.6,NA,NA,NA,NA,NA,19.8,14.6,NA
14,1,1981,NA,19.2,19,NA,NA,NA,NA,NA,16.8,14.8,NA
15,1,1981,NA,19.6,19.2,NA,NA,NA,NA,NA,17.2,14.6,NA
16,1,1981,NA,17,17.4,NA,NA,NA,NA,NA,17,14.2,NA
17,1,1981,NA,18.5,17.4,NA,NA,NA,NA,NA,18.6,14.6,NA
18,1,1981,NA,20,19.2,NA,NA,NA,NA,NA,18.5,15.4,NA
19,1,1981,NA,19,19.6,NA,NA,NA,NA,NA,20,14.8,NA
20,1,1981,NA,20,19.8,NA,NA,NA,NA,NA,17.4,14,NA
21,1,1981,NA,19.6,19.2,NA,NA,NA,NA,NA,18,13.4,NA
22,1,1981,NA,19.6,19.8,NA,NA,NA,NA,NA,19.5,13.8,NA
23,1,1981,NA,19,19,NA,NA,NA,NA,NA,18.4,14.2,NA
24,1,1981,NA,17.9,18.6,NA,NA,NA,NA,NA,16.6,13.2,NA
25,1,1981,NA,15.6,16,NA,NA,NA,NA,NA,15.6,13.6,NA
26,1,1981,NA,17.4,18.4,NA,NA,NA,NA,NA,15.4,15.6,NA
27,1,1981,NA,18.4,17.8,NA,NA,NA,NA,NA,16.4,13,NA
28,1,1981,NA,18.5,20.1,NA,NA,NA,NA,NA,18.4,14.6,NA
29,1,1981,NA,19.9,19.7,NA,NA,NA,NA,NA,19.2,14.6,NA
30,1,1981,NA,20.4,20.2,NA,NA,NA,NA,NA,19.2,15,NA
31,1,1981,NA,19.8,19.6,NA,NA,NA,NA,NA,20.4,14.6,NA
1,2,1981,NA,19.9,20,9,NA,13.4,NA,NA,NA,NA,NA
2,2,1981,NA,16.9,18.1,7,NA,NA,NA,NA,NA,NA,NA
3,2,1981,NA,20,19.6,8,NA,NA,NA,NA,NA,NA,NA
4,2,1981,NA,19,19.2,3,NA,17.6,NA,NA,NA,NA,NA
5,2,1981,NA,18.5,17.8,6.2,NA,NA,NA,NA,NA,NA,NA
6,2,1981,NA,19.4,18.6,8,NA,NA,NA,NA,NA,NA,NA
7,2,1981,NA,19.6,19.2,9.8,NA,15.2,NA,NA,NA,NA,NA
8,2,1981,NA,21.2,20.2,10,NA,18.4,NA,NA,NA,NA,NA
9,2,1981,NA,20,19.6,9.8,NA,17.4,NA,NA,NA,NA,NA
10,2,1981,NA,19.6,19.4,9,NA,11.2,NA,NA,NA,NA,NA
11,2,1981,NA,18.9,19.2,8.2,NA,17.2,NA,NA,NA,NA,NA
12,2,1981,NA,18.1,18.4,7,NA,18.2,NA,NA,NA,NA,NA
13,2,1981,NA,17.6,17.2,9.2,NA,NA,NA,NA,NA,NA,NA
14,2,1981,NA,19.1,18.4,10,NA,17.4,NA,NA,NA,NA,NA
15,2,1981,NA,19.1,19.7,9.4,NA,NA,NA,NA,NA,NA,NA
16,2,1981,NA,21,20.2,8.6,NA,18.6,NA,NA,NA,NA,NA
17,2,1981,NA,NA,20.2,7.6,NA,17.4,NA,NA,NA,NA,NA
18,2,1981,NA,NA,20,9.4,NA,17.2,NA,NA,NA,NA,NA
19,2,1981,NA,19,20.8,10,NA,18.6,NA,NA,NA,NA,NA
20,2,1981,NA,17.6,17.6,9.2,NA,17.4,NA,NA,NA,NA,NA
21,2,1981,NA,19.4,19.2,8.6,NA,17,NA,NA,NA,NA,NA
22,2,1981,NA,20,19.4,9.4,NA,18.4,NA,NA,NA,NA,NA
23,2,1981,NA,20,19.6,8.6,NA,18.4,NA,NA,NA,NA,NA
24,2,1981,NA,19.5,19.6,10,NA,18.6,NA,NA,NA,NA,NA
25,2,1981,NA,19.6,19.7,9.2,NA,18.2,NA,NA,NA,NA,NA
26,2,1981,NA,21.1,20,7.6,NA,NA,NA,NA,NA,NA,NA
27,2,1981,NA,20.1,17.8,8.8,NA,18.2,NA,NA,NA,NA,NA
28,2,1981,NA,20.9,19.8,8.2,NA,17.2,NA,NA,NA,NA,NA
1,3,1981,NA,NA,19,7.6,5,NA,NA,NA,19,15,NA
2,3,1981,NA,NA,20,5.4,NA,10.2,NA,NA,21,15.6,NA
3,3,1981,NA,NA,20,2,5,16.8,NA,NA,18.4,14.4,NA
4,3,1981,NA,NA,18.2,10.2,6,17.4,NA,NA,19.4,15.2,NA
5,3,1981,NA,NA,20,10,6,17.2,NA,NA,20.8,16.4,NA
6,3,1981,NA,NA,18.8,8,6,18.2,NA,NA,19.6,14.6,NA
7,3,1981,NA,NA,18.8,10,5,18.4,NA,NA,19.8,15.6,NA
8,3,1981,NA,NA,20,9.8,6,20.2,NA,NA,NA,15.2,NA
9,3,1981,NA,NA,19.6,9.2,7,17.4,NA,NA,21,15.4,NA
10,3,1981,NA,NA,19.2,8.6,7.2,NA,NA,NA,20,15,NA
11,3,1981,NA,NA,19.4,7.4,5.6,NA,NA,NA,20.2,15,NA
12,3,1981,NA,NA,19.4,7,6,NA,NA,NA,20,15.6,NA
13,3,1981,NA,NA,19.8,9.4,6,NA,NA,NA,20.2,14.8,NA
14,3,1981,NA,NA,19.2,8.4,6,NA,NA,NA,20.2,14.6,NA
